Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Science Fiction, Adventure",en,2021-09-15,7.9,fear;people;precious,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,beyond;set;journey,The Last Warrior: Root of Evil
"Horror",de,2022-02-09,5.1,dark;events;strange,The Privilege
"Horror",en,2021-06-11,6.4,ritual;teenagers;could,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,could;small-town;harbouring,Antlers
"Action, Thriller",en,2021-11-05,6.4,relentless;island;brother’s,Dangerous
"Romance, Drama",en,2021-09-01,7.2,tessa;able;should,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,old;onto;turns,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,pulls;major;faithful,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,dog;earth;learns,Finch
"Thriller, Horror",es,2021-07-23,5.4,wake;abdomens;attached,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,adventure;humdinger;state,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,protect;cosmic;fate,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,calling;batman;criminal,Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,arises;romanoff;darker,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,journey;magical;season,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,crew;high-performance;encountered,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,knocks;collision;earth,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,andrea;replaced;carlos,Sex, Shame and Tears 2
"Animation, Comedy, Family",en,2021-12-03,6.5,middle;greg;plans,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,tries;set;building,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,test;comes;power,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,tween;storybook;mayhem,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,assassin;murderous;deathstroke,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,jean;gris;knight,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,waters;battle;clues,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,hopes;heads;strange,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,decadence;reggiani;ambition,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,heartbroken;magic;black,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,houghton;future;aid,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,spectacular;monsters;battle,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,lizard;peter;abandoned,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,future;returns;dangerous,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,moon;between;mission,Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,leads;meeting;insurgency,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,ludwig;thieves;early,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,opposition;musician;tragedy,UFO
"Thriller, Mystery",en,2022-03-03,5.9,during;races;croatia,The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,ladder;bettermans;propels,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,place;without;monsters,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,arrive;losing;future,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,son;warner;suspended,Home Team
"Drama",en,2021-03-17,7.4,vada;forever;heal,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,last;themselves;returned,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,never;real;skills,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,surprises;during;settle,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,around;day;officers,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,tunes;lola;space,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,laura's;asks;arresting,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,claim;suspect;they'd,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,identity;unable;instead,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,fellow;country;mind,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,portorosso;luca;tattooed,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,vanished;dulos;connecticut,Gone Mom: The Disappearance of Jennifer Dulos
"Horror",en,2021-06-28,6.6,series;london;deadly,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,every;crawl;there,Meander
"Thriller, War",en,2021-11-18,5.3,darkened;rome;seeks,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,warrior;if;heir,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,chases;mob;along,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,irish;magical;appreciate,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,offered;island;malone,Apex
"Documentary, Crime",en,2022-02-02,7.1,women;wealthy;plan,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,fall;fashion;so,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,adventures;hilarious;run-ins,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,late;dong;ambitious,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,heads;shanghai;miraculous,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,cat;american;discover,Miraculous World: New York, United HeroeZ
"Documentary",en,2022-03-03,6.9,season;worsening;dry,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,so;class;hand,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,military;16th-century;skills,Amina
"Adventure, Drama",en,2021-12-03,6.4,sons;unhuman;need,Encounter
"Horror, Thriller",en,2021-08-06,6.0,boy;how;mother,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,powerful;store;wonder,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,gwen;stacy;cannot,The Amazing Spider-Man 2
"Horror",th,2021-12-02,6.5,sinister;strange;siblings,The Whole Truth
