Nick,Puntaje
Emi,-3.5
Juan,4.0
Luqita,-0.5
Juli,1.0
Juli,1.0
Juli,-2.0
Juli,-2.0
Juli,4.0
Tebi,1.0
Fran,-0.5
Juli,-1.5
Juli,1.0
Emi,-1.5
Facu,5.0
Fran,-3.5
