Nick,Puntaje
Jason,1.0
Jason,-3.0
Juli,4.0
Fran,0.0
Fran,2.0
Fran,3.0
Juan,1.0
Luqita,1.0
Tebi,1.0
Luqita,1.0
Luqita,-5.0
Fran,0.0
Fran,0.0
Fran,0.0
Fran,0.0
Fran,-1.0
