Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Fantasy, Adventure, Comedy,ru,2021-01-01,7.1,well-deserved;surrounded;enjoying,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,looking;elite;dark,The Privilege
Horror,en,2021-06-11,6.4,ancient;legend;spades,Queen of Spades
Drama, Horror, Mystery,en,2021-10-28,6.4,local;brother;dangerous,Antlers
Action, Thriller,en,2021-11-05,6.4,remote;brother’s;sets,Dangerous
Romance, Drama,en,2021-09-01,7.2,decision;tessa's;keeping,After We Fell
Adventure, Action, Thriller,en,2021-09-29,7.5,treacherous;kidnapped;armed,No Time to Die
Action, Crime, Thriller,hi,2021-11-05,5.8,chief;anti-terrorism;sooryavanshi,Sooryavanshi
Science Fiction, Drama, Adventure,en,2021-11-04,8.1,learns;built;beloved,Finch
Thriller, Horror,es,2021-07-23,5.4,people;abdomens;each,Two
Animation, Family, Adventure, Comedy,en,2021-08-09,7.5,stop;turning;adventure,PAW Patrol: The Movie
Adventure, Action, Science Fiction,en,2018-04-25,8.3,threats;cosmic;continued,Avengers: Infinity War
Fantasy, Action,en,1989-06-23,7.2,criminal;nemesis;ruthless,Batman
Action, Adventure, Science Fiction,en,2021-07-07,7.5,nothing;arises;conspiracy,Black Widow
Animation, Comedy,en,2022-02-18,5.7,three;journey;stories,The Wonderful Winter of Mickey Mouse
Action, Crime, Thriller, Adventure,en,2021-05-19,7.3,driver;skilled;battle,F9
Action, Adventure, Science Fiction,en,2022-02-03,5.9,sends;know;around,Moonfall
Comedy, Drama,es,2022-02-04,2.2,tomás;mexico;unsettle,Sex, Shame and Tears 2
Animation, Comedy, Family,en,2021-12-03,6.5,ambitious;heffley;imagination,Diary of a Wimpy Kid
Comedy, Romance, Science Fiction,th,2022-02-15,5.3,affections;human;real,AI Love You
Action, Science Fiction, Comedy, Family,en,2022-03-30,0.0,dr;tails;journey,Sonic the Hedgehog 2
Mystery, Family,en,2022-02-17,5.7,mischief;short;niece,Erax
Animation, Action, Adventure, Science Fiction,en,2020-08-04,6.9,tries;h.i.v.e;jackal,Deathstroke: Knights & Dragons - The Movie
Action, Drama, History,en,2021-10-13,7.6,knight;settle;squire,The Last Duel
Action, Adventure, Comedy, History,ko,2022-01-26,6.6,lost;battle;gold,The Pirates: The Last Royal Treasure
Horror, Mystery, Thriller,en,2021-10-29,6.5,heads;margot;seems,Paranormal Activity: Next of Kin
Drama, Crime, Thriller,en,2021-11-24,6.8,begins;patrizia;beginnings,House of Gucci
Romance, Horror, Thriller,ru,2021-02-11,6.7,magic;uses;terror,Dark Spell
Action, Adventure, Comedy, Fantasy,en,2021-07-28,7.6,change;lily;ancient,Jungle Cruise
Action, Fantasy, Science Fiction,en,2021-03-24,7.8,future;forces;collide,Godzilla vs. Kong
Action, Adventure, Fantasy,en,2012-06-23,6.7,parents;choices;parker,The Amazing Spider-Man
Romance, Crime,en,2022-02-17,5.6,future;planning;nikki,Heart Shot
Action, Adventure, Fantasy, Science Fiction,en,2009-12-10,7.5,paraplegic;civilization;mission,Avatar
Animation, Action, Drama, Science Fiction,ja,2021-06-11,7.8,noa;officer;alters,Mobile Suit Gundam Hathaway
Crime, Comedy,en,2021-10-27,6.9,top-secret;heist;teller,Army of Thieves
Drama, Romance,tr,2022-02-23,5.2,obstruct;racer;tragedy,UFO
Thriller, Mystery,en,2022-03-03,5.9,during;best;another,The Weekend Away
Animation, Family, Adventure, Fantasy, Comedy,en,2020-11-25,7.6,its;both;embrace,The Croods: A New Age
Animation, Family, Adventure, Comedy,en,2021-12-03,7.7,monsters;humans;fit,Back to the Outback
